"peak","accessibility_score"
"chr19-48468435-48470174",549
"chr2-219176034-219179080",549
"chr1-243253400-243256545",548
"chr13-44575476-44578413",548
"chr14-91509045-91511312",548
"chr2-28750392-28753964",548
"chr5-180809397-180811381",548
"chr6-33390923-33392739",548
"chr7-1458104-1463057",548
"chr7-72827729-72830503",548
"chr1-35191576-35193826",547
"chr18-79068175-79070011",547
"chr19-8831647-8833398",547
"chr5-32311591-32313899",547
"chr1-85275073-85277434",546
"chr10-69087306-69094225",546
"chr10-69123243-69125251",546
"chr11-46344857-46349652",546
"chr19-16110725-16112434",546
"chr19-17074233-17077112",546
"chr2-134917518-134919668",546
"chr22-24553969-24556402",546
"chr22-42078842-42080845",546
"chr5-68214703-68217108",546
"chr6-159726165-159728347",546
"chr8-102862472-102865124",546
"chr1-26694884-26698610",545
"chr1-40038766-40041510",545
"chr10-75233343-75236547",545
"chr19-4342206-4344188",545
"chr3-112560974-112563198",545
"chr3-132721631-132723499",545
"chr4-88282815-88285569",545
"chr4-113760061-113763259",545
"chr1-41360243-41367339",544
"chr10-97317912-97321846",544
"chr10-133257371-133263084",544
"chr11-808390-810710",544
"chr16-2903922-2906385",544
"chr16-30649618-30652140",544
"chr20-35771077-35773993",544
"chr3-49469136-49471138",544
"chr5-179697786-179700351",544
"chr10-101828898-101831757",543
"chr10-133307586-133310185",543
"chr19-58379982-58381949",543
"chr2-200861323-200865400",543
"chr20-45969734-45972993",543
"chr3-156673686-156676272",543
"chr6-29940391-29949270",543
"chr7-1529725-1534595",543
"chr8-56210206-56212774",543
"chr8-125429047-125433000",543
"chr9-35731578-35733655",543
"chr10-31031213-31033017",542
"chr11-10807467-10809830",542
"chr17-38746716-38753343",542
"chr2-135530138-135532328",542
"chr20-4809646-4816047",542
"chr3-126474666-126476952",542
"chr5-179621749-179624983",542
"chr6-111481798-111484706",542
"chr8-123415963-123417770",542
"chr8-133568323-133573286",542
"chr1-116372038-116376841",541
"chr10-110495913-110499954",541
"chr11-574118-577190",541
"chr11-795328-799414",541
"chr16-5096927-5099069",541
"chr17-7213702-7218283",541
"chr17-7854988-7858837",541
"chr19-18191729-18195263",541
"chr2-195656279-195660667",541
"chr20-32534389-32540802",541
"chr5-177131580-177134889",541
"chr7-2629887-2634697",541
"chr9-5625852-5630431",541
"chr9-136543361-136547799",541
"chr1-155322658-155326795",540
"chr10-62814731-62819246",540
"chr11-72812578-72816713",540
"chr17-1647873-1650397",540
"chr22-38504627-38507295",540
"chr3-195441539-195443923",540
"chr6-26019965-26022561",540
"chr7-12685506-12688052",540
"chr1-154973259-154976188",539
"chr10-27153745-27156763",539
"chr11-68838471-68844424",539
"chr22-31343608-31348028",539
"chr17-63772790-63775306",538
"chr17-83050800-83052638",538
"chr19-4790635-4792839",538
"chr3-38135614-38139938",538
"chr9-129173754-129178929",538
"chr18-58670288-58672513",537
"chr2-190879963-190883174",537
"chr3-9932433-9934674",537
"chr7-36152317-36154188",537
"chr9-85740755-85743973",537
"chr9-107282325-107284523",537
"chr1-235503319-235505803",536
"chr13-40663907-40668655",536
"chr2-73232550-73235716",536
"chr5-179731879-179733856",536
"chr6-33424960-33432619",536
"chr6-156776369-156780846",536
"chr6-159788533-159791413",536
"chr9-33289183-33291421",536
"chr9-34663103-34667856",536
"chr9-89309763-89311790",536
"chr1-211258188-211261210",535
"chr11-6233997-6235709",535
"chr16-53502237-53504788",535
"chr17-17749151-17754283",535
"chr8-134831090-134833484",535
"chr1-23958391-23960695",534
"chr1-25429746-25431889",534
"chr1-203323670-203328438",534
"chr18-62714573-62717700",534
"chr19-19661603-19664599",534
"chr21-33541352-33543850",534
"chr22-40635878-40638238",534
"chr1-65419549-65422111",533
"chr1-228081295-228086048",533
"chr12-112012039-112015070",533
"chr16-2881874-2884029",533
"chr17-65055317-65057727",533
"chr17-74872283-74874198",533
"chr2-30230347-30233467",533
"chr5-100900069-100905559",533
"chr7-77536246-77538995",533
"chr8-109539063-109540858",533
"chrX-24148830-24150932",533
"chr1-113928305-113931997",532
"chr1-147598676-147600798",532
"chr1-225998581-226001108",532
"chr1-244450459-244452565",532
"chr20-35952922-35955362",532
"chr3-183634873-183637310",532
"chr6-41732377-41736126",532
"chr6-109093859-109096052",532
"chr6-158868965-158870707",532
"chr1-25614558-25619670",531
"chr17-50146094-50152738",531
"chr17-80259444-80266053",531
"chr19-48992148-48994322",531
"chr22-36451310-36456842",531
"chr4-145177727-145181330",531
"chr4-173332114-173335643",531
"chr6-30719647-30723056",531
"chr1-156746403-156752648",530
"chr1-205748479-205750888",530
"chr12-6532115-6536539",530
"chr15-72782467-72784848",530
"chr16-11741660-11744218",530
"chr4-7067100-7069220",530
"chr4-81469894-81473428",530
"chr4-173369329-173372295",530
"chr5-40678081-40683681",530
"chr7-6103828-6106872",530
"chr7-152433588-152437266",530
"chr8-93915975-93918088",530
"chr8-123273446-123275762",530
"chr8-143566499-143570648",530
"chrX-44872104-44875050",530
"chr12-52005278-52011851",529
"chr12-57110015-57112780",529
"chr19-5718624-5721249",529
"chr19-40283541-40286102",529
"chr19-50510142-50515629",529
"chr3-179146923-179149882",529
"chr6-37818421-37820761",529
"chr8-133295096-133298660",529
"chr12-6948776-6955682",528
"chr12-46370932-46374256",528
"chr12-53218869-53224370",528
"chr13-113207884-113210532",528
"chr19-10415719-10422430",528
"chr19-18431796-18442504",528
"chr2-207624157-207627584",528
"chr20-63625825-63628852",528
"chr4-1719699-1724103",528
"chr7-148773-151247",528
"chr1-23553734-23560499",527
"chr1-36148756-36152330",527
"chr1-226938953-226941220",527
"chr10-87861418-87864910",527
"chr11-1849656-1857013",527
"chr15-72116812-72119208",527
"chr16-3019885-3024788",527
"chr16-46688125-46690492",527
"chr16-53129903-53132177",527
"chr17-43169033-43172632",527
"chr17-49360318-49363119",527
"chr4-158670881-158672969",527
"chr5-177441612-177451232",527
"chr6-36678176-36681089",527
"chr1-27724945-27726930",526
"chr1-181086859-181091426",526
"chr14-49999042-50004098",526
"chr16-31178808-31182722",526
"chr17-29565705-29569771",526
"chr17-40340839-40348087",526
"chr19-7902770-7905523",526
"chr19-11089097-11093804",526
"chr2-112644913-112647052",526
"chr20-50929228-50932295",526
"chr4-140150115-140154719",526
"chr6-139372720-139376238",526
"chr8-141127313-141130382",526
"chr9-6006758-6009061",526
"chr17-7434695-7438734",525
"chr2-9629698-9631750",525
"chr2-47174730-47177537",525
"chr3-5185948-5189421",525
"chr4-2416423-2420269",525
"chr1-45582453-45585362",524
"chr11-67482269-67487087",524
"chr19-45448951-45452848",524
"chr22-38699366-38701898",524
"chr3-75434358-75436430",524
"chr6-16128440-16131511",524
"chr1-1917805-1923756",523
"chr14-92649492-92658079",523
"chr15-92807828-92810949",523
"chr19-14404150-14414269",523
"chr19-56313959-56315836",523
"chr22-41620050-41622185",523
"chr9-129109466-129112238",523
"chr1-186374337-186376337",522
"chr11-18393884-18396770",522
"chr17-49675894-49678681",522
"chr5-42991364-42995716",522
"chr11-86067124-86070259",521
"chr2-207163322-207167636",521
"chr1-24926500-24931096",520
"chr1-153921848-153924152",520
"chr14-92793465-92795062",520
"chr15-84747292-84749970",520
"chr15-90387491-90389817",520
"chr19-1590659-1593684",520
"chr19-48961815-48966649",520
"chr2-196168170-196172469",520
"chr20-3766784-3769177",520
"chr6-42928417-42930780",520
"chr9-35656318-35659257",520
"chr1-211577507-211580171",519
"chr10-27240000-27243719",519
"chr10-119206119-119209895",519
"chr11-823741-835403",519
"chr14-20681052-20685088",519
"chr16-56930996-56933441",519
"chr19-33175935-33178171",519
"chr2-38750113-38752165",519
"chr5-132494221-132498420",519
"chr6-139133098-139137427",519
"chr7-44747849-44751536",519
"chr7-44976796-44981594",519
"chr1-54052222-54054240",518
"chr22-30264830-30268657",518
"chr7-76357876-76360103",518
"chr9-33816166-33819003",518
"chr1-150233520-150236779",517
"chr12-121465902-121468537",517
"chr14-39430750-39433600",517
"chr15-58931993-58934493",517
"chr15-100601106-100603493",517
"chr16-2751555-2754522",517
"chr18-48948330-48953463",517
"chr19-570783-573764",517
"chr2-26033019-26035681",517
"chr4-139452891-139455092",517
"chr6-110873277-110877180",517
"chr6-111871064-111874475",517
"chr7-128404858-128410781",517
"chr9-133119894-133122492",517
"chr1-2411680-2416910",516
"chr1-6612563-6615586",516
"chr1-52365125-52366942",516
"chr10-110207117-110212791",516
"chr11-10302380-10308462",516
"chr19-4722962-4725369",516
"chr2-99335712-99338367",516
"chr3-49092811-49095069",516
"chr4-2961488-2964551",516
"chr6-42781414-42785075",516
"chr7-24978875-24982179",516
"chr8-144146733-144149149",516
"chr8-144900099-144903307",516
"chr1-93179136-93181675",515
"chr1-93845741-93848359",515
"chr1-184753628-184755922",515
"chr17-3891509-3894019",515
"chr2-175167257-175169009",515
"chr2-197452655-197454411",515
"chr20-36571736-36575910",515
"chr22-28882613-28884626",515
"chr3-150545429-150547555",515
"chr4-184472213-184475651",515
"chr7-44080768-44083240",515
"chr7-156892135-156893990",515
"chr9-112332626-112334926",515
"chrX-107672638-107677465",515
"chr11-404576-410487",514
"chr11-47268471-47271514",514
"chr11-65636572-65642410",514
"chr14-49633020-49636057",514
"chr15-43791501-43793821",514
"chr15-78872165-78874903",514
"chr16-57734696-57737110",514
"chr17-75854065-75856665",514
"chr19-10960072-10962323",514
"chr19-48169203-48171300",514
"chr20-63518945-63523572",514
"chr3-134485065-134487813",514
"chr6-31265551-31273643",514
"chr7-112449358-112451734",514
"chr1-19483369-19486738",513
"chr1-173867096-173869402",513
"chr14-102775896-102778897",513
"chr19-45506005-45509758",513
"chr2-170928384-170930721",513
"chr5-43312609-43314362",513
"chr8-38380222-38383849",513
"chrX-3814196-3816753",513
"chr19-19062996-19065687",512
"chr2-43217679-43222474",512
"chr2-200810810-200812987",512
"chr2-202634196-202636468",512
"chr21-42008944-42011550",512
"chr5-36240767-36242960",512
"chr7-75738220-75740254",512
"chrX-1391143-1393186",512
"chr1-77681911-77684074",511
"chr1-113903457-113905932",511
"chr10-72295519-72299593",511
"chr10-75209507-75211757",511
"chr10-96831625-96833789",511
"chr11-67804576-67806675",511
"chr16-234095-235930",511
"chr17-7237400-7240891",511
"chr19-10601924-10605130",511
"chr19-47239114-47244770",511
"chr2-218567692-218569900",511
"chr22-38753981-38757649",511
"chr8-122779854-122783641",511
"chr1-23367576-23370091",510
"chr11-35138439-35147194",510
"chr14-63641056-63642917",510
"chr17-59154341-59156170",510
"chr19-42075008-42076852",510
"chr1-30753506-30758397",509
"chr1-117605105-117607995",509
"chr11-2376517-2389822",509
"chr14-91415209-91419551",509
"chr16-11667061-11675137",509
"chr17-7328700-7330921",509
"chr17-38798722-38800517",509
"chr17-39979691-39981776",509
"chr2-74457051-74459410",509
"chr6-31664022-31666698",509
"chr8-51897828-51900346",509
"chr8-73293028-73296014",509
"chr8-124371238-124373459",509
"chr15-59687703-59690239",508
"chr16-31032444-31034739",508
"chr16-58628774-58630974",508
"chr19-45766403-45772532",508
"chr19-48332240-48334537",508
"chr3-155869799-155872098",508
"chr5-176388042-176389826",508
"chr6-44245653-44248312",508
"chr7-100100127-100102361",508
"chr8-127733848-127739178",508
"chr9-33024373-33026335",508
"chr12-76083556-76085872",507
"chr14-59187705-59190598",507
"chr16-28923764-28926161",507
"chr17-29292255-29295021",507
"chr19-36213810-36215730",507
"chr2-120251792-120254049",507
"chr20-62860597-62862814",507
"chr1-2298423-2302750",506
"chr12-108560566-108563975",506
"chr15-64840811-64845850",506
"chr2-11154347-11156148",506
"chr2-26345206-26347416",506
"chr2-237672927-237675683",506
"chr22-23836423-23839844",506
"chr5-131634484-131636545",506
"chr5-172184756-172189108",506
"chr16-396572-402526",505
"chr17-82750478-82753128",505
"chr19-17468661-17471363",505
"chr19-49486835-49494076",505
"chr2-55616409-55619130",505
"chr20-49045472-49047407",505
"chr20-58649381-58653259",505
"chr22-31289188-31294049",505
"chr3-51498928-51500861",505
"chr3-51669211-51672438",505
"chr6-43628339-43630667",505
"chr9-136117492-136119916",505
"chr11-1308621-1311621",504
"chr11-64316282-64319813",504
"chr12-57234395-57244267",504
"chr14-77097307-77099268",504
"chr16-11913573-11916658",504
"chr17-5485630-5487421",504
"chr10-79066329-79071641",503
"chr10-101030411-101033292",503
"chr11-61160516-61163075",503
"chr11-82899069-82902314",503
"chr12-62259196-62261528",503
"chr15-64162380-64164318",503
"chr16-4846386-4848666",503
"chr19-3760705-3763555",503
"chr2-45649527-45653026",503
"chr9-133146927-133150099",503
"chr11-62830792-62833937",502
"chr12-123232403-123234283",502
"chr17-75268831-75272861",502
"chr19-12936689-12939694",502
"chr19-14528557-14530525",502
"chr2-218269332-218271122",502
"chr4-48778774-48781353",502
"chr7-44884361-44886397",502
"chr7-148882968-148885416",502
"chr10-131899975-131902052",501
"chr16-87391282-87393630",501
"chr19-39390321-39392156",501
"chr22-37657663-37659835",501
"chr3-101848748-101852585",501
"chr5-140563589-140565421",501
"chr7-129224263-129226153",501
"chr9-114382620-114389246",501
"chr1-2525671-2531623",500
"chr1-26470236-26473635",500
"chr1-161389428-161391023",500
"chr11-62600568-62603342",500
"chr22-41285123-41287216",500
"chr4-40054350-40058301",500
"chr6-13709672-13712922",500
"chr9-129412646-129415278",500
"chrX-15853894-15856521",500
"chr11-13276460-13279200",499
"chr11-33256720-33259198",499
"chr14-44961056-44963236",499
"chr14-99682623-99684953",499
"chr14-105313390-105316711",499
"chr16-3878953-3881821",499
"chr16-18800739-18802348",499
"chr17-45160436-45162567",499
"chr17-48047235-48049487",499
"chr17-82457131-82459589",499
"chr19-9784703-9786683",499
"chr19-19404933-19407728",499
"chr2-121736060-121739003",499
"chr2-130181026-130183148",499
"chr3-160564316-160566360",499
"chr3-185936625-185938723",499
"chr4-9151938-9153991",499
"chr6-27836619-27839939",499
"chr6-31651578-31653557",499
"chr7-143379638-143385252",499
"chr9-127223792-127226297",499
"chr1-42765831-42767967",498
"chr10-32345857-32347900",498
"chr11-45846492-45848437",498
"chr17-75032083-75037407",498
"chr19-2081621-2088399",498
"chr19-5679475-5681570",498
"chr19-46859774-46862519",498
"chr2-218404341-218407882",498
"chr20-62141276-62144769",498
"chr5-180291163-180294753",498
"chr7-73556469-73558330",498
"chr8-17922179-17924564",498
"chr1-203289027-203291784",497
"chr13-91346803-91349548",497
"chr17-18037501-18040544",497
"chr19-1880259-1886169",497
"chr19-43594423-43597292",497
"chr19-54158707-54160994",497
"chr4-82899710-82901578",497
"chr5-56814278-56817440",497
"chr5-108747515-108749909",497
"chr7-99141390-99144982",497
"chr8-63167782-63170011",497
"chr9-135905091-135908602",497
"chr11-130068662-130071215",496
"chr17-60390398-60393422",496
"chr19-32674264-32677128",496
"chr2-20350014-20351997",496
"chr21-42892472-42894131",496
"chr3-49673194-49675089",496
"chr4-26860040-26862305",496
"chr1-156052782-156056073",495
"chr10-132331245-132332875",495
"chr12-116275900-116278948",495
"chr13-41059771-41062356",495
"chr14-35045311-35047293",495
"chr17-28040858-28042340",495
"chr19-2149997-2152374",495
"chr2-36965591-36967384",495
"chr2-97662588-97664988",495
"chr2-101306352-101310167",495
"chr3-167734106-167736105",495
"chr6-157019232-157022516",495
"chr8-80485149-80488275",495
"chr9-75027102-75029111",495
"chr1-27233525-27235941",494
"chr1-37689595-37693078",494
"chr11-47406928-47410978",494
"chr11-119093932-119096108",494
"chr12-93440849-93442899",494
"chr12-123971579-123974245",494
"chr16-75462744-75465321",494
"chr17-28334031-28336546",494
"chr18-21599525-21602699",494
"chr19-2059621-2062615",494
"chr20-64076530-64081468",494
"chr22-41831355-41834491",494
"chr3-51941228-51944230",494
"chr3-88058007-88060054",494
"chr8-22106658-22110664",494
"chr8-134711895-134713983",494
"chrX-15674328-15676182",494
"chr11-13667860-13670148",493
"chr12-49129883-49132213",493
"chr12-110280269-110282573",493
"chr14-24241761-24243778",493
"chr16-1342081-1348491",493
"chr19-49117836-49120791",493
"chr2-60880576-60883519",493
"chr5-151251189-151253988",493
"chr6-35258708-35261164",493
"chr7-151079854-151084184",493
"chr8-143022292-143027793",493
"chr9-71910012-71912110",493
"chrX-153723186-153727658",493
"chr10-73810344-73812502",492
"chr3-13479193-13481224",492
"chr3-49006221-49008640",492
"chr5-128082127-128085111",492
"chr8-28621887-28623642",492
"chr1-156456178-156458070",491
"chr1-185155804-185158252",491
"chr11-46118900-46122590",491
"chr11-73759780-73761880",491
"chr12-1592366-1595655",491
"chr16-24538783-24541076",491
"chr19-35744281-35746084",491
"chr2-207710721-207712573",491
"chr20-36604710-36607188",491
"chr22-42089858-42091705",491
"chr3-48087353-48089622",491
"chr6-166381581-166384160",491
"chr7-44795732-44798245",491
"chr7-73521298-73523251",491
"chr1-110209450-110212901",490
"chr10-5888331-5890989",490
"chr10-118753953-118756006",490
"chr11-68459664-68461871",490
"chr2-27369629-27371838",490
"chr2-32062536-32064711",490
"chr2-96264794-96267575",490
"chr20-2101342-2103688",490
"chr1-88683088-88685396",489
"chr1-205630818-205632707",489
"chr11-3421766-3423793",489
"chr14-21268693-21270582",489
"chr15-80058670-80061070",489
"chr17-7883678-7889578",489
"chr17-28743020-28750565",489
"chr17-44324069-44327411",489
"chr17-81033375-81036220",489
"chr19-3504947-3507911",489
"chr2-46939935-46944463",489
"chr21-34886241-34891360",489
"chr3-53044398-53047279",489
"chr4-780995-783555",489
"chr5-65924611-65928032",489
"chr5-159207456-159210791",489
"chr6-159691048-159694821",489
"chr6-169722646-169725647",489
"chr7-149027719-149029429",489
"chr1-1115523-1117722",488
"chr11-20386816-20388590",488
"chr12-12714083-12720011",488
"chr15-77419103-77421502",488
"chr16-2213923-2215858",488
"chr16-29814648-29817563",488
"chr16-57998237-58001984",488
"chr16-85553086-85559484",488
"chr19-13093563-13101389",488
"chr2-64652203-64655626",488
"chr3-101675724-101677721",488
"chr4-51842138-51845173",488
"chr5-163459311-163462241",488
"chr6-2988048-2991150",488
"chr9-71766360-71770106",488
"chr9-127734048-127736124",488
"chr11-66287273-66290142",487
"chr11-73140512-73143933",487
"chr18-11980348-11982552",487
"chr6-149316646-149319374",487
"chr8-140633458-140636662",487
"chr9-4792058-4793856",487
"chr9-129080219-129081999",487
"chr1-40690969-40692909",486
"chr1-42681110-42683738",486
"chr1-162560771-162562714",486
"chr10-26859759-26861683",486
"chr12-121786141-121790958",486
"chr16-21501225-21503092",486
"chr20-32357397-32360140",486
"chr3-63910795-63913429",486
"chr5-62305364-62307651",486
"chr1-112617662-112620871",485
"chr11-44564280-44567793",485
"chr13-28136909-28140277",485
"chr16-88780038-88786080",485
"chr2-27889768-27891808",485
"chr20-50188890-50193124",485
"chr22-39519174-39521508",485
"chr6-44262593-44266766",485
"chr7-100611561-100614206",485
"chr8-65840529-65843273",485
"chr9-97920792-97924834",485
"chr1-1019014-1027292",484
"chr1-3623695-3625903",484
"chr1-26619933-26621998",484
"chr1-150628054-150630319",484
"chr11-65650076-65655264",484
"chr11-134223390-134225967",484
"chr12-9647164-9651857",484
"chr12-53005531-53007430",484
"chr12-92927111-92930011",484
"chr17-29587952-29594590",484
"chr17-74747958-74752160",484
"chr22-39150778-39153849",484
"chr6-4134261-4136554",484
"chr10-16816806-16818306",483
"chr10-67883943-67886250",483
"chr12-10211980-10214284",483
"chr12-130870710-130872912",483
"chr13-27170270-27172918",483
"chr15-99563978-99567557",483
"chr17-5418622-5420770",483
"chr19-35755283-35758959",483
"chr2-178449889-178452140",483
"chr5-177493821-177498638",483
"chr6-11536893-11538931",483
"chr1-15408866-15412597",482
"chr1-230066468-230069056",482
"chr11-67403255-67412295",482
"chr12-49186875-49189714",482
"chr14-69766282-69768376",482
"chr3-14123837-14126327",482
"chr3-27483028-27485265",482
"chr9-75087018-75089576",482
"chr9-137221431-137225201",482
"chrX-48956829-48959211",482
"chr1-67684260-67687042",481
"chr1-212606394-212610137",481
"chr10-31759021-31760975",481
"chr10-119724635-119726856",481
"chr14-49861451-49864390",481
"chr14-77026573-77029656",481
"chr15-50352520-50355888",481
"chr19-2235354-2237431",481
"chr3-141875427-141877703",481
"chr4-39976298-39978504",481
"chr5-34929006-34930488",481
"chr6-42048067-42051250",481
"chr1-45303042-45304958",480
"chr1-46301362-46304197",480
"chr15-44728216-44730086",480
"chr16-4306254-4308543",480
"chr16-67805828-67807516",480
"chr17-1455086-1457275",480
"chr17-2049358-2052269",480
"chr19-1130541-1134492",480
"chr19-1810678-1813643",480
"chr2-100561990-100564088",480
"chr6-17705472-17707443",480
"chr6-26270843-26274392",480
"chr1-86913393-86915938",479
"chr10-79444070-79446911",479
"chr10-84327831-84330770",479
"chr11-235652-237572",479
"chr11-34050992-34053861",479
"chr12-113220646-113222448",479
"chr16-3263308-3265211",479
"chr17-2592860-2595148",479
"chr17-48023236-48027018",479
"chr2-130341520-130343544",479
"chr4-56906723-56909768",479
"chr5-160118343-160120237",479
"chr6-79076265-79079118",479
"chr6-154732702-154734737",479
"chr1-43649080-43651086",478
"chr1-77978017-77980365",478
"chr11-65115534-65118504",478
"chr11-65569215-65571060",478
"chr11-106076522-106078304",478
"chr13-114128463-114133145",478
"chr15-41969811-41973297",478
"chr17-68511331-68513619",478
"chr19-7868301-7872860",478
"chr19-10402348-10405975",478
"chr19-43753663-43756036",478
"chr2-47782346-47784457",478
"chr20-5609584-5611604",478
"chr6-30066067-30067792",478
"chr6-157379685-157382582",478
"chr7-73577656-73579464",478
"chr9-131393030-131395983",478
"chr1-53325600-53329105",477
"chr1-154935975-154938085",477
"chr1-201019149-201024836",477
"chr11-65109557-65113603",477
"chr12-57751287-57753135",477
"chr16-4270990-4274338",477
"chr16-29742845-29747301",477
"chr16-31072473-31075235",477
"chr17-68455849-68458365",477
"chr19-8512067-8515989",477
"chr19-33371978-33374737",477
"chr2-127700412-127702649",477
"chr22-17771403-17778645",477
"chr7-5418683-5430147",477
"chr7-7967818-7970932",477
"chr9-20619937-20623994",477
"chr1-16366719-16368510",476
"chr10-100996274-101000931",476
"chr17-78137269-78142440",476
"chr4-184648091-184650532",476
"chr9-99103914-99106230",476
"chr1-9233170-9235602",475
"chr1-154324312-154330036",475
"chr1-228100838-228106509",475
"chr12-49741005-49742604",475
"chr12-62602110-62604169",475
"chr12-96398702-96401742",475
"chr14-22928627-22930991",475
"chr14-69151285-69154171",475
"chr17-15998236-16000687",475
"chr17-67376595-67380219",475
"chr18-9474514-9476627",475
"chr18-12882918-12884870",475
"chr19-3357371-3362127",475
"chr19-6108556-6111786",475
"chr19-11434551-11436354",475
"chr19-18000119-18003046",475
"chr20-43456870-43459078",475
"chr5-119070248-119071972",475
"chr6-31861758-31864349",475
"chr7-102430739-102434777",475
"chr9-34048132-34049895",475
"chr1-9625934-9631270",474
"chr11-66465756-66468254",474
"chr11-77819232-77821867",474
"chr12-52022679-52026313",474
"chr14-101947434-101949448",474
"chr16-85610059-85617478",474
"chr17-42608359-42610304",474
"chr19-47607813-47610878",474
"chr19-58181892-58184236",474
"chr2-23925681-23927988",474
"chr2-219251655-219255410",474
"chr4-82372461-82375018",474
"chr1-1907454-1909988",473
"chr1-32013012-32015439",473
"chr1-225426467-225429319",473
"chr11-59668092-59670067",473
"chr13-114280405-114282763",473
"chr14-74491919-74494379",473
"chr14-103714863-103716735",473
"chr17-17834163-17838847",473
"chr19-39832950-39834864",473
"chr2-201115450-201120636",473
"chr20-63638418-63643238",473
"chr20-63977273-63981714",473
"chr22-37674486-37677901",473
"chr5-5421255-5423478",473
"chr7-48086824-48090045",473
"chr1-32334426-32338467",472
"chr10-72272593-72276254",472
"chr19-35642833-35645696",472
"chr2-241148690-241151077",472
"chr20-44209716-44211972",472
"chr4-184824553-184827306",472
"chr5-139387693-139394784",472
"chr6-30212794-30214919",472
"chr6-32852397-32855172",472
"chr7-25124334-25126130",472
"chr1-155206610-155209688",471
"chr1-169893035-169894888",471
"chr17-35808451-35810249",471
"chr2-25877277-25879150",471
"chr2-101251795-101254147",471
"chr22-21000407-21003213",471
"chr8-66666176-66668286",471
"chr9-128551757-128553441",471
"chr1-156102971-156107592",470
"chr13-48975040-48977337",470
"chr14-61694746-61696662",470
"chr17-1484429-1489134",470
"chr17-75587555-75591112",470
"chr18-50286450-50288553",470
"chr19-16075603-16080604",470
"chr2-3518277-3520267",470
"chr2-10301117-10304553",470
"chr20-33731372-33734420",470
"chr22-36775464-36777143",470
"chr22-45308733-45311476",470
"chr3-50609441-50614504",470
"chr3-126981819-126985253",470
"chr7-100538399-100539987",470
"chr9-129026478-129029602",470
"chr9-136361543-136367243",470
"chr10-5812543-5814496",469
"chr14-22587993-22590271",469
"chr19-1205001-1208443",469
"chr19-3060042-3063414",469
"chr19-40424741-40426564",469
"chr20-31721906-31724452",469
"chr22-39143945-39146814",469
"chr4-143512784-143514892",469
"chr7-120950260-120951598",469
"chr1-11804591-11806957",468
"chr1-24744668-24746474",468
"chr1-223844017-223847029",468
"chr10-21533346-21535637",468
"chr10-132443545-132449816",468
"chr12-109713244-109715698",468
"chr14-70906845-70909073",468
"chr17-4939012-4941282",468
"chr17-83076913-83082321",468
"chr19-14089303-14092426",468
"chr19-48713238-48714998",468
"chr20-36460533-36463274",468
"chr22-31943489-31945987",468
"chr4-673551-678313",468
"chr1-26110595-26112706",467
"chr1-91021042-91022824",467
"chr1-114510051-114512460",467
"chr1-161067662-161070607",467
"chr10-28302234-28303749",467
"chr15-44535961-44538224",467
"chr16-4253148-4254541",467
"chr16-31141315-31143379",467
"chr17-44185938-44187952",467
"chr18-75207752-75212578",467
"chr19-15418173-15419613",467
"chr19-38374025-38375566",467
"chr19-55257146-55260091",467
"chr19-55638947-55644410",467
"chr2-210169758-210172300",467
"chr20-62237756-62240464",467
"chr21-39312088-39314888",467
"chr3-113695622-113697963",467
"chr5-138574759-138576441",467
"chr5-142769260-142771593",467
"chr6-43367478-43370521",467
"chr7-55365098-55367117",467
"chr7-127391393-127393515",467
"chr9-137199634-137201717",467
"chr10-91161978-91164484",466
"chr11-45917229-45919436",466
"chr12-56634111-56637492",466
"chr12-119988334-119990686",466
"chr16-67841495-67843697",466
"chr2-113602019-113604599",466
"chr21-36319475-36322002",466
"chr3-45688209-45690908",466
"chr5-10352584-10355519",466
"chr5-134003641-134006140",466
"chr8-37735936-37738223",466
"chr9-125240503-125242390",466
"chr9-131272984-131280586",466
"chrX-16869299-16871552",466
"chrX-48800781-48802889",466
"chrX-49268679-49270581",466
"chr1-40978918-40981135",465
"chr1-156765694-156768614",465
"chr11-65539128-65541641",465
"chr12-131893936-131897196",465
"chr13-76991051-76993094",465
"chr16-19067021-19068602",465
"chr17-38727581-38731430",465
"chr19-3184441-3186881",465
"chr19-10834940-10837191",465
"chr22-20116023-20118363",465
"chr6-3067978-3069841",465
"chr9-34328610-34330496",465
"chr10-73095314-73097596",464
"chr11-66956736-66959253",464
"chr12-57475267-57480869",464
"chr17-64129012-64131170",464
"chr19-49928498-49931082",464
"chr5-43017154-43020817",464
"chr5-132962343-132964439",464
"chr6-33247997-33250155",464
"chr8-19816674-19818546",464
"chr8-28889331-28891563",464
"chr8-38995857-38997747",464
"chr1-16204968-16208881",463
"chr11-65132157-65135877",463
"chr12-55817128-55818730",463
"chr17-19377293-19379561",463
"chr19-54448057-54450155",463
"chr19-56140103-56142133",463
"chr2-190647855-190650099",463
"chr2-240584481-240587592",463
"chr22-30286729-30292300",463
"chr4-112636508-112637970",463
"chr7-100887051-100891367",463
"chr8-37896777-37901193",463
"chrX-48916933-48920843",463
"chr1-2132202-2134224",462
"chr1-32816550-32819239",462
"chr1-150362917-150366074",462
"chr1-171780664-171782401",462
"chr10-12348360-12351246",462
"chr10-72318388-72324338",462
"chr11-9572633-9575422",462
"chr14-93112775-93116688",462
"chr15-41115118-41117195",462
"chr19-5621617-5625122",462
"chr19-48618434-48620232",462
